creationDate,confirmationDate,expirationDate,token,userId,staticEmailConfirmationTokenId
2019-06-27,2012-11-04,2021-07-15,MF5WK5CUH57ZSXXVOG801KGCVIGWVWCR,271,1
2015-02-14,2016-02-10,2021-03-12,XO8BKIY059C9CBQHQH1HD78ZZZTYG4AV,205,1
2015-08-14,2021-05-14,2013-11-15,QASLE12PMX7HGD6LDN728XS4H92TZSRU,345,1
2016-06-21,2021-06-15,2020-12-10,BHWW5O8I0HEPNLFG5E6W7Z71UF1GG72E,1853,1
2012-01-26,2021-10-25,2022-12-18,P0KZJS55JP8DIZ1G60NN9MEQNF598PER,484,1
2019-03-05,2014-01-17,2017-02-10,MQLEJF3H3VXBTBO7AGPCDXLDPAI84IRC,1299,1
2014-09-17,2014-02-05,2017-07-10,6QVKM8RG472H5OBHL55H27PR8C4UAL43,1905,1
2017-10-19,2014-11-15,2018-01-22,TIXT68AOZS64XCO1NBT6J7QQ8FEZE1JV,1982,1
2014-04-17,2013-11-21,2016-02-23,19J8NSRD7LXSLRBGMX93C89M9BDFYKSI,212,1
2020-08-24,2022-02-18,2022-12-28,F7FQVMZ75RFL928TJ7TAWMT67C4QT7NZ,1498,1
2014-05-28,2010-02-27,2021-11-02,56V4KQL06DVJUPRFAB77CYH51U93I4OJ,1733,1
2012-05-02,2018-12-13,2022-01-19,G0ZNI4ZNWCAZVZSLMZ95U3ZVHDZP2O7M,581,1
2013-06-28,2013-06-03,2010-05-07,4C9EEILLQOAQD75R15OFMN8SMFGFY9XM,146,1
2012-05-25,2018-12-09,2018-06-04,DVM5W0NALZIX2Z6R5TQ3ASPBGETEIR8U,82,1
2018-04-23,2021-01-07,2019-10-22,9D84YTT2IO8PO2M9741ETKTII7AB1B2A,757,1
2017-08-21,2017-09-14,2010-09-04,SM5V3U2CF0AXW9Q3JX9L0Q4CDX6TNTFJ,11,1
2018-10-05,2014-03-19,2012-01-19,5IN1RL37KAS9A78C6PWZDWYCJUTN2XQM,1815,1
2015-07-02,2022-06-20,2016-08-12,PZWHS18UTTVHWUNM3S1Y01EDKQ1TFDEU,1937,1
2010-12-20,2017-10-21,2014-10-10,V9C1463XMQ8TLRJJI93GEC7QMOVU12EH,1468,1
2015-06-05,2021-07-22,2018-11-26,AU4W4IZ9LE7VMEJ4S7FHEI0Y6I4G4NLA,238,1
2017-07-08,2011-05-09,2021-03-27,8VBXD8DTUGEQQY3TBL04FZ1P4LN0NO46,1093,1
2020-12-02,2012-03-21,2013-11-04,XZBXJJEP6I5HFD1I01H1SQH2UBPNBZRT,741,1
2013-02-03,2018-07-14,2016-07-14,IFRXY3NQ5K09XW91LZ29EX1EEUDPXU7J,1976,1
2011-12-17,2020-09-13,2011-07-05,N94CCC3T0LW4DDK7SR4GA7DLY28UULCC,69,1
2020-10-12,2012-03-10,2016-08-22,XYFXRYZ45JFYVQBGO6NXQLXKWJ879MMS,266,1
2012-10-19,2020-06-08,2017-02-22,2DCYNYXV5UECNCN6ERB89AV6KKUEXJ7S,304,1
2015-06-05,2021-07-26,2010-07-21,K0UONR2W90DLQNDK140OM1L0TOXKBIKH,119,1
2015-12-24,2016-01-17,2019-09-28,PL5UR3S5RGE2ANYP9M4FUX667BZTRKVA,111,1
2017-03-26,2013-09-13,2016-04-05,DNRFFDYG33R8PU1XSS6QOKM41NR1SFZ6,1389,1
2020-08-03,2018-07-06,2017-08-25,6MPJWM9DX9ZJDQARGUQLME48MREDBD81,489,1
2017-11-27,2020-01-05,2022-08-09,U1ZMIIWFPJUEYO4NN03J5DS4TAQ3XT6Z,1694,1
2019-08-09,2011-11-14,2011-09-14,JEW50HLMRBJ9169YLCFAFQQF68YVDPRM,1508,1
2010-04-14,2015-11-09,2010-11-28,G0G9XFI8637YPOHFUYGSGBH4XH6K83BU,22,1
2011-04-06,2021-01-04,2011-12-27,UA733XZCG573BAVY4GYZEMB0M6EMSYRE,1030,1
2011-10-15,2010-11-02,2011-12-21,4HYUT6RQJOKXRFML03X60A4NDYE3CVRG,116,1
2013-09-10,2017-04-17,2011-03-28,7LUPBE2R9K9IVHAUYYZW2YVN4C94PI7K,621,1
2017-06-25,2019-11-15,2020-07-25,58MY5NQ8LL224RYVJPAMXXLQR2S3JEWJ,1222,1
2013-08-01,2018-03-24,2010-12-05,RFYU6HQQUD2HUDR39REXIJ7VV6CI41DA,636,1
2012-09-09,2021-11-16,2020-03-26,VEHZY3Y6LM035GD6MAQKMN1XWPB284CL,1247,1
2011-07-18,2012-09-09,2011-12-14,55UGGDFG3VI0FF7UDNHFUFZTL9FTWRN6,1711,1
2017-11-14,2012-07-14,2013-10-12,ATBZZ48AJX7RUJWPCP70HPYMD4WLI1K7,1045,1
2012-01-15,2016-12-06,2010-02-23,S99AO4V1ZAYXJMXUD4ABOY149PP4QBT7,944,1
2013-01-18,2012-04-15,2015-08-27,ZUOOOSWCY4KERS1GJTKAHE65EZ1NLUIX,100,1
2010-12-07,2016-10-02,2014-05-19,ADCQTR17S4OS851FHYAAK3UVY94I7OQN,1221,1
2015-12-26,2014-08-02,2015-02-28,9LDDBS43ZWB6JNKXM570X07NAKMSCIAQ,1495,1
2022-04-03,2016-07-10,2015-03-22,4WVXRBNUNSSR8QHCHSH3WS8TX5CRAMRI,1915,1
2022-07-20,2020-05-07,2020-04-18,MR52ACWPABTDZZWG8ZPT9QODH31V2DEH,512,1
2020-12-12,2021-01-09,2018-11-28,ML8574SIA1CGLGESOS6922VG4QEV1RAU,1538,1
2017-07-11,2013-02-22,2014-04-14,VNJK9IHCTJAER19RJ5O5IEP8Z5OQ02PY,768,1
2016-10-04,2012-07-13,2012-03-11,GASJN96JBSO2WVYDNGZD5KA878PHIQXW,1962,1
2010-11-06,2012-03-18,2011-08-12,7BVR3IS0F52HV6KVYBIUYIFTKIDX1Z1T,824,1
2017-12-15,2020-06-18,2014-10-01,DYQJWS8XKJ22ANDB4BRD6SIBTN0X1UGS,1789,1
2022-04-15,2017-09-27,2022-09-25,HWQEHK190BHJML8JYAPTJ3CXWL0QDW6D,447,1
2012-09-01,2022-12-20,2021-05-28,0S8TUBQM81GQ0VTVODURK6SBERANPWD9,58,1
2014-02-14,2012-08-16,2021-08-05,NO76PKT03YP5PUKUVSQ3OGU8OVZIJ0WD,1106,1
2021-04-15,2021-03-10,2010-05-28,Q4XGN2QY2SLRE8RIG92HGLG9MLA36D02,1519,1
2019-03-13,2011-08-27,2013-02-15,50O2TDW9OB1ROJYE7IF6W5427GWNU10Z,1583,1
2022-05-12,2010-02-03,2011-05-21,U9DZABGCMD7MB2XFBDS3MWFNSX1EH3JD,1162,1
2022-04-28,2012-01-26,2021-11-10,FWWIVUOF2RCI5KNQUO2QN0AIRJC7RGWY,1646,1
2018-10-12,2019-05-25,2018-07-25,KV9VV24EFD0UTUXXDOWMCYUMDY0ZEY0J,1475,1
2013-12-22,2019-05-10,2013-09-26,UJG64MZ1U0867WYHH0TDAWBGNXH6PSB3,70,1
2015-11-17,2017-06-28,2013-05-06,45OAT3OL7BM3X8SFUX74NUODBCJP7N86,258,1
2021-10-14,2010-04-03,2020-01-17,QWA7DX1MXTD0LLFLA8B80U81MKQUBT5B,809,1
2014-05-20,2019-11-12,2022-09-10,R5G40QNEK2J6V0BW9WQMOSCVHJWO4NTB,764,1
2017-09-02,2014-06-10,2020-10-04,PQDRTKI3FSCWVZQTG4WDDT8DVIRZ3FF5,554,1
2016-02-02,2019-06-11,2013-05-03,NPZGGHR6G55TNALSEN2L5C2AF4ULO5B5,1900,1
2016-01-01,2015-10-21,2018-03-03,5H77XOKBYDYZ35N8VKK3H19KJIR6WO5C,1252,1
2020-09-27,2014-06-12,2018-08-15,0YEAEK12CNAKD5KZ49FF42WN47EWNR2B,551,1
2018-01-15,2022-03-07,2015-01-21,KFC9FZ8UR07SDQ6TGV0DGPLM5EPCUZKV,722,1
2013-12-26,2018-01-21,2010-10-17,SQZ9O7GE9U64LC1NJPVIVLWI8D5TYI49,886,1
2022-09-27,2012-01-21,2018-02-04,ZWVUIXX7JIKTUKDV6ZCAE94DLK7D2R9R,1238,1
2015-02-11,2012-07-26,2012-11-06,9KRXBL8DFTP73F69F0O3G3UGOANFILB9,713,1
2015-09-11,2021-01-27,2010-09-02,11UT1OV98ES0J0B0U4XID1GG0BX46AU4,1535,1
2018-06-15,2011-07-25,2010-06-18,OSAD6TJQ218T3046T07SIQJC3XZXTZ77,1597,1
2014-10-19,2015-02-02,2016-08-08,EWJZA5TL5NK3CES9TL4U4FCHL14KWG88,576,1
2012-12-19,2016-01-06,2017-11-09,2RZ92GR3H1K5B1KST2OJDGBCZ73H009F,1363,1
2021-01-26,2018-03-04,2012-07-12,0CITM826NIDPHAVKKV7Y2ESMHXPIYB6C,1351,1
2017-10-18,2019-04-05,2020-08-01,7IIQUDEUXCP2NMGRAR3IVYY6Q2XFW8I6,1406,1
2015-04-02,2020-12-05,2017-05-05,VRVJM3TQSLYELW9KTMEVMUEIA4BROCLI,1382,1
2022-06-21,2019-08-02,2020-12-16,GU19R81MEE7YAOBM322TI6O0WVKLNDYK,284,1
2011-08-28,2016-12-07,2012-08-03,2YGKHMZSCD73FGE7OM5H6ZCKIZ94EEIO,1545,1
2022-10-08,2020-03-02,2021-12-06,0UVBN6YQFTGKSM2OHWQWE5S75SSHQ5EY,904,1
2014-11-28,2021-11-19,2013-01-25,MU75JGA2O50T209R5RMODYOPM3LN6PFH,1479,1
2017-09-18,2021-01-09,2010-12-13,LKWBXGXFT2NZSCTESSZB71OJ4KP2UB2Y,1231,1
2011-09-04,2010-07-09,2011-11-10,RRCZVXM53L21YM41Y0F8WL3C8JE7NE60,1683,1
2016-11-12,2018-11-11,2021-12-02,G79BOKF93C2A7WY4OT1O10L0MY6AWDRE,1687,1
2018-01-21,2010-07-23,2013-07-13,RZ61RL0JSYFRUF510EOZHDBWMN86B2EU,302,1
2015-07-05,2013-08-16,2019-06-08,K4W92RGWNAXFJ1KRHZYY9HJGWWKF63NF,296,1
2016-04-17,2018-01-13,2016-07-26,7A27B3274G7E6ZGWG6JIT8P9KBIKWWDX,1266,1
2016-02-16,2010-03-22,2011-02-07,W10CXJ5CJ7J513PHHATGLBJ0IVU47X5K,68,1
2017-12-13,2020-06-12,2014-06-05,5MYS532P51HZ7S0PFF4THMHVY03LTXI4,536,1
2010-08-08,2017-03-03,2011-10-13,AWPH314EN7H23KBPI8NKPWLZYEKXA6AM,744,1
2015-02-10,2013-03-07,2014-04-25,2R7DETUS1DI8HM3QSZN24A1PR97QA7L5,30,1
2016-07-15,2014-01-13,2016-01-13,TIDFX0OUK1D4PGTTNYZQ0PANLLKDDEXP,1219,1
2021-08-12,2015-03-09,2012-12-16,87FYQ2207GJ2EEBI4JJDZURGDCJ6QEEL,1615,1
2018-11-05,2015-02-21,2012-08-17,QQ7Q79NW5VDFTZAD9S8XP6QP5WUMCZBR,1011,1
2018-08-23,2018-04-21,2010-03-09,5P4V9WTK55B86KSXPUYU44D3PMSKW1LW,567,1
2010-01-27,2020-12-21,2016-01-16,T7YIL1D8O0M83JQ64K2DLNJEC6K9W60Y,1657,1
2016-03-18,2021-07-19,2014-01-11,ZVGRNKOL8HH0AAW867R3JY57EFL8X49Q,51,1
2017-08-13,2012-03-04,2011-05-11,MCLL0IYGBFGL4BWYTEOWXN5NFUQCJ9QW,170,1
2015-09-14,2015-01-21,2021-01-22,5AKE110OPIMK7E6G4WCY9A69B2C8QTNG,1926,1
2016-03-10,2017-04-17,2015-07-04,AN6JZN2PEM5MUY4EQUVEP3K6CEGJNJF4,1895,1
2011-08-05,2020-09-25,2016-08-05,4W6AOBCTFF7VL6V202QPLS6O7WBWQ8EL,1093,1
2017-07-23,2022-08-24,2021-08-10,1KDBB8DNHGXONSCBQJ9YWEHICMQ9S2D4,446,1
2017-12-10,2020-03-19,2018-09-26,N1AG0G8DT1VBFTGKTCT8A4SV7ICWMXDL,1306,1
2020-03-26,2020-03-28,2022-12-05,DREBZBPWLFTPGOONOKETOLQEMVCP3GIP,678,1
2014-03-25,2018-05-16,2017-07-10,87D0Z9V41N9GMTZSC9M2KMWRC0UURJRM,766,1
2012-09-21,2013-08-12,2014-04-20,9K9RQDBLIB5P3SPYVA19NHRH2L89KW2S,792,1
2014-09-10,2013-06-10,2018-07-19,FSR71FR3BOWQKQDPBAJTPT3V5UNOC3KQ,1207,1
2011-10-05,2021-05-10,2011-01-13,ZSQRDH7R19H971NKALKZ7DCRWA3QSE5J,805,1
2017-05-15,2022-12-18,2011-01-02,WA4TCKI0KPZ0QH8MWTT9OQ488N4CH4K6,592,1
2018-06-08,2019-09-02,2014-07-10,PW56DBD5HSHO80GGSGBTJTU03AG0MY6P,134,1
2010-11-05,2014-12-06,2013-11-15,5GHV62X64K2MIZ6AIEGTQHQ4NQK0I8EK,1012,1
2018-01-23,2012-03-28,2011-11-12,F85OZOVTL8IPVV9YV0Y8R2YGZBCC95CM,1664,1
2010-05-17,2017-11-05,2014-09-19,2PD1TJ21KPQW0VOTNPDWAYM7Y65DDI9V,1502,1
2020-05-28,2014-09-15,2022-03-05,27CGAQ7J3QEBUWC250L9M44WUYCY93NJ,2,1
2022-07-10,2018-03-06,2022-05-01,XOR8LYOJQMLQ8BE8XDJLK5B9195SBGKK,987,1
2016-01-20,2010-02-11,2018-10-27,0BYVUNTIZUVCVU6ZPUTK0B4EMVA17A3E,385,1
2018-03-22,2011-08-08,2010-08-26,DJKFT3ZEXQH81LICNGJU5QB4FDBQXIYT,726,1
2015-11-21,2014-03-23,2017-04-23,7VPB09S0RAE33ZRBVBS9OHLDC5QPO04T,1643,1
2016-07-12,2019-01-23,2013-04-25,13PXOPROMZ0EGZY0757ITS03E9B97UHK,357,1
2012-12-04,2022-05-24,2011-04-27,KDXX29C1XH3BW3W54ZJLL0W9T2XHR4JV,584,1
2017-11-01,2012-04-19,2020-09-02,QD38HQNPI82KGFMBD9BGPFIHI84H2JN3,343,1
2010-05-21,2019-08-13,2017-09-08,3EWJPOLMJI0YSVUFZSGJ3QKCEEJQA61H,1415,1
2017-11-27,2022-10-11,2010-10-07,KGCKCRZTBJSNCTCWCE1HOLKBNRMK21R7,420,1
2016-04-25,2018-07-26,2012-09-13,HFVVYMCASZZ8U6OGR47WOZMDAMSO7BRX,644,1
2016-12-16,2010-05-15,2014-11-27,P79HVWXMOJZK5OQKI9QGA94S6SVDMNKI,579,1
2011-08-14,2018-09-24,2020-11-26,W5U3DRNVZ09ACX87D6TS8BP2N2ZS4AL6,1016,1
2014-08-13,2020-03-24,2010-02-25,INIBMC5X1PYWXSP8EA73HKH9Y9K5LPF4,1409,1
2019-04-18,2013-03-04,2013-10-21,0NBSUG3WKI235FM7E32EUK7L28ZCK5BT,1820,1
2014-08-06,2014-06-24,2022-11-23,OJT5U7V0K3WPQJR92ZJJWDYTCAHD258F,962,1
2010-10-16,2017-09-17,2022-11-03,XBCOEDIP7P6PGFV72OV9ZX1LD5PSJTBS,850,1
2014-03-22,2010-01-28,2018-07-09,E8237PWEFR2N2EJI75ANG8B9CEP43DRS,1510,1
2014-04-25,2014-09-13,2021-10-15,Y401YF3O5FD1CIGL8CJLDVEXTNTMXLN6,358,1
2014-03-06,2021-12-22,2012-01-04,AZ68MO8JYLQQ3DR59KU3S8NC208FUIYQ,1546,1
2014-10-08,2018-02-14,2011-04-04,1UF23CFZVC9GAVMISFU4APNI8JOY8H6A,1247,1
2022-07-01,2012-02-21,2010-06-17,QD2SKMS52JZX2YWNRTQJP68XL9SHCJE6,1820,1
2014-08-07,2017-05-03,2019-02-08,T0FP0XXZA4CVCTHEYZGNWO0D08HMSLAZ,1086,1
2010-09-24,2019-04-18,2022-12-06,NGCBWQMWNRQ2P8L9NU0MX0UUVNZP5DVJ,628,1
2017-09-08,2017-09-17,2011-05-10,L7ZTMSSUBPF1VP1L83XI8LU7627MQGUL,1282,1
2021-01-21,2021-07-11,2019-07-02,JZCXKH91A0190DC1965A4B5LPFXMB86R,1353,1
2017-12-20,2021-06-23,2015-10-17,L6DNECSF5TIIBYLQ47KU8X6MXD4AAKFW,1644,1
2015-07-28,2012-02-20,2016-01-22,OVWPG6R1AI0XUCGC6FJ53KDB8XRQBSO8,587,1
2013-02-15,2017-03-04,2016-07-11,L0S7NNJRCC1Z3AV2BQP5K3VP2W0FP5EA,464,1
2022-10-19,2014-04-24,2013-11-28,F537XY6NSQVRIJ6L38SSW7V3N00IJJ7J,1622,1
2015-04-01,2015-07-27,2011-02-17,OGFKR21RWGUXQJ44P4RZ9Y0NPRYWNCFB,1930,1
2012-08-25,2011-11-21,2015-11-27,DKXWYPZ851J0PPH6X93Q96RS95437CWZ,261,1
2020-09-02,2013-04-12,2012-06-09,HO902ZLBLMNHN8LID6CVZGF517S7BSMZ,1312,1
2016-05-14,2019-07-21,2016-07-28,J0SQ1KQX96TG5JMFEOFX2N3EWPJY0SX1,1624,1
2017-07-02,2011-01-01,2010-01-09,GD1R5PJ917NEPAIN5Q7GRTF0TN5QB99R,19,1
2021-04-07,2022-11-24,2016-06-02,75IHYSQZ8Z802I32PAUI62FP73LH78AG,1506,1
2013-10-09,2013-02-03,2020-10-02,3HER8WBNJ2MD65TT910MFE9M00ECYDYC,403,1
2012-08-06,2022-07-09,2019-09-07,EQLN0CFIE14QHHBL2IREMF0OIQRJVDIC,1720,1
2022-07-02,2022-10-04,2019-03-26,CYL2QSI073G5NKVCGLYZUBRR8XF534L7,1233,1
2021-02-09,2014-04-23,2014-01-02,AW62F7G275RGDBT984YUUPZJ5XFQFPXP,798,1
2022-10-19,2022-04-25,2022-01-08,2I9WUINBQRTAUJ60RIYJJR1OFIKH86P6,1521,1
2017-04-06,2022-05-20,2012-09-11,PSKNBBOGVDRNQKOEREQB2IEM03XDU6U8,932,1
2015-11-09,2020-02-15,2012-04-18,NNCWQGGLIHJSXCILZ74OYGYRCJAAFLZ0,1764,1
2021-11-08,2012-11-12,2013-09-07,0XPT1C3LY5UMPIWLW0PHZEAJKN5P5ROT,559,1
2011-12-18,2013-05-18,2022-03-15,G0I3ILHVHCJM1CHTUXBJQ2OURMF34OKB,516,1
2013-07-23,2017-12-21,2015-01-22,9VYMDMHYSUIXGLREKX6ZQ0SYI1ERU7MR,679,1
2019-12-26,2020-09-18,2012-04-08,QQ11FUVM9FVWCQ3XQZNBDN7GES30BAIX,380,1
2021-04-20,2016-12-19,2016-03-18,KWZTRVAQ3ST2WBBDTSJXFKB1T9F2B4C7,1870,1
2011-08-21,2013-05-28,2011-01-25,8F8GFTIAN3V0USXOKS05IPBXKHBGO5UQ,438,1
2011-01-14,2017-10-26,2010-02-25,21K5CV09PTMIIJ24ZD8C4V77QRWJK9W1,1119,1
2016-04-17,2020-05-05,2022-12-15,ECHE8ELIE22834183JPZJXH4O02B85OP,998,1
2013-03-28,2016-01-23,2012-12-04,S6129O6XZOWO605NXZDI3QPDETGPLDNS,1432,1
2011-06-11,2022-10-02,2010-12-27,YYU2MVWJL221B6AAXA69PWZUR4HCJ0CQ,951,1
2010-08-18,2021-02-06,2020-09-24,79N0PT6AS51RPPJ6I8R0EX145MVSAAIM,1663,1
2013-01-24,2019-01-28,2022-03-21,NS1DDL4DT0K8X9IXVNXBALC7FEYAQX3F,1024,1
2016-06-16,2015-01-13,2019-08-02,BLGM1KXHFACD52VX4CNXKS21O6ZYM9K7,1612,1
2014-01-18,2011-09-09,2022-03-02,XWN0MEKH8BVL8H4IB800DSQE2T5E4RKP,890,1
2020-05-24,2015-10-23,2017-12-09,F1NP6SH2PV1BULJR2YWRVAKFYPCH6ZNH,1648,1
2019-06-24,2014-10-22,2020-05-02,9ZSR4JMT1OOONFWCX4JCOAIHZWMYCRDG,1368,1
2011-06-07,2010-10-25,2014-01-24,FHYSS5IL8XYJPOO62HF6YM1NTPZX3TKW,1417,1
2011-09-19,2010-04-09,2021-09-10,3EKI4IZ7M2JMNI4N4VCJBB8TF0WKOXJ9,426,1
2013-12-01,2013-09-10,2020-05-10,OR8P8BJUSQLZIMMTLF99MBVYTUWRKEXR,1514,1
2017-12-15,2014-01-07,2013-12-10,9J4C74Z0EVID0OL4MF61JR85ATEP9BRS,1060,1
2010-05-28,2016-04-08,2019-12-23,W9OCRKOLHTREL2UMIH8VET93L7ZJTO9U,202,1
2016-07-19,2011-05-01,2015-10-03,PCXQ3XM91QSRBI1GM985FRJ3CYD4HKYR,288,1
2016-01-02,2016-05-28,2014-08-08,LXUL4L03DPA7RK2OJ5ND8XXUP5N0K4HQ,722,1
2016-07-08,2021-06-27,2011-08-12,S6O3R82081PYS0BMA9F5N8UCMKC0EY8U,703,1
2020-09-06,2010-08-04,2022-04-09,4B30U6YUFPEHHBJ88WWP49O1FEM9ZD4N,1099,1
2014-10-28,2015-07-13,2020-08-02,E5GT98PAYRHC5Y97C66B2IH0YQX8EF05,1132,1
2010-07-15,2010-09-17,2022-10-04,VUZ2MCU8G5U38PDTXKNTGYK6WA9AQ1SJ,520,1
2019-02-19,2015-06-19,2019-02-01,2ULUJ7PXZ02VH4SQZQZY3CZ635CQN6PH,1674,1
2017-11-08,2013-08-16,2018-06-25,7JCFOYCXNCQ15X7WNZMQUUOZLRVR4AJZ,899,1
2020-06-25,2011-08-17,2018-12-13,KDJDQ456E97550K0ZEGJZ8DK7QSXNF7J,1886,1
2019-01-25,2018-01-06,2021-05-16,344CUK6FDBXRTMD9DL81TA8SJL2PVMHF,1416,1
2015-01-01,2012-08-10,2010-04-02,8FNJR7XUEZIEQZK8U3XJHPB3X9F5JFDO,758,1
2020-02-15,2015-06-20,2018-12-06,GW5RKJFA4ID7BOBQKXXKK5SN4ZNE7N5Y,1136,1
2021-09-20,2019-10-22,2018-10-17,3XR2UJHJ4EQLCFO4KXCSYY9HEL9OHL3I,1798,1
2021-12-27,2013-10-08,2012-05-28,VT7ES62XRR6MYY48PCTTXT0724JR0ZFG,1271,1
2015-10-12,2021-11-02,2012-08-19,JPJX5NYI4SGWKH1LYP8OGHFFWIPOCFAT,1350,1
2013-03-16,2011-02-06,2015-05-08,SJ5SUT8OAIIAYOERESMGXV3IJKEBIRSX,1078,1
2020-01-02,2019-06-09,2016-09-05,1I9BRT7HVF0KEXV7FCFAIQ61H2JVWXHN,750,1
2018-06-12,2019-08-24,2018-01-14,SWZQC8F6HUDD8U3YTY3O7ZVDA47J40NU,1496,1
2021-10-12,2015-04-23,2010-11-26,DH7VN67L8LLAHN37KUF4IA0U5GHD9FLW,1636,1
2019-04-26,2017-09-09,2017-03-03,CGSS3YXRHN8W09MYFCUZ3GLG0UQTGXMY,899,1
2011-05-01,2014-01-17,2018-06-24,H3H3A8UUUWTY5MNO886KXDZRXWZU6XOV,183,1
2016-12-04,2016-07-03,2011-04-01,292S46IU5TDBMJ1OLC4ID7J818N7KWYC,1591,1
2011-10-08,2017-01-13,2014-04-20,TQHRVUQJ4HI6Z45YW16VH7KMJ6FS5VIF,388,1
2019-07-26,2013-11-17,2014-06-10,T96VHZDEF0KZMIPIQGYWY8TLG8KT6BUS,1497,1
2018-11-12,2022-05-23,2019-04-22,QNJ9GZQBTAOD1ZNFWGGAPON95ZVSR38D,990,1
2015-02-24,2013-09-12,2016-04-21,QG92XFWHU7XDPNWZW62SYSZH6UTWWPPV,241,1
2013-12-14,2019-09-11,2011-02-25,IXMEY6CFIOJUG3T9OIWI9QVFXYYX9W75,1643,1
2014-11-15,2018-10-20,2017-02-14,GYYOCAO2V3IFUKP01LZU7IM19ONX6QGE,1073,1
2011-12-09,2019-02-06,2012-08-13,5O2SNH7T9758PJ2HT5RLISLGLL4BN51P,271,1
2014-02-18,2010-11-18,2015-08-04,6Z5NCH6SXBHA5EMAGCK86MM4TC71NA4P,1044,1
2014-09-13,2019-12-28,2011-11-17,H5WRMICWRU7HHNHGPQSNYSYQEQJWZA02,1182,1
